402	C200	0.1_uF
402	C202	22_pF
402	C216	1.8_pF
402	L201	10_nH
402	C211	22_pF
402	C207	22_pF
402	C217	22_pF
402	C210	22_pF
402	C123	0.1_uF
402	C127	0.1_uF
402	C126	0.1_uF
402	C124	22_pF
402	C122	0.1_uF
402	C110	0.1_uF
402	R103	1.5_K
402	C109	10_pF
402	L100	3.3_nH
402	C201	0.01_uF
402	C204	0.01_uF
402	C208	0.01_uF
402	C213	1.8_pF
402	C209	0.01_uF
402	R110	1_K
402	R112	1_K
402	R111	1_K
402	C116	10_pF
402	C117	0.1_uF
402	C120	10_pF
402	C121	0.1_uF
402	C119	0.1_uF
402	C118	10_pF
402	C100	0.1_uF
402	C106	0.1_uF
402	C102	0.1_uF
402	R106	1_K
402	C103	0.1_uF
402	C115	.056_uF
402	R100	1_K
402	C112	22_pF
402	C125	0.1_uF
402	R102	1_K
402	R101	1_K
402	R207	36_R
402	R209	300_R
402	R205	300_R
402	R208	300_R
402	R204	300_R
402	C218	1.8_pF
402	C105	0.1_uF
402	C229	22_pF
402	C101	0.1_uF
402	C104	0.1_uF
402	C111	0.1_uF
402	R108	1.5_K
402	R107	1.5_K
402	C232	22_pF
402	R502	1_K
402	R214	1_K
402	R218	1.5_K
402	R500	1_K
402	R501	1.5_K
402	R503	1.5_K
402	C212	0.01_uF
402	C206	0.1_uF
402	C220	0.1_uF
402	C236	100_pF
402	R211	5.1_K
402	C221	820_pF
402	R210	240_R
402	C227	100_pF
402	C224	100_pF
402	R220	1_K
402	C230	100_pF
402	C238	100_pF
402	C241	0.1_uF
402	R216	30.1_R
402	R219	90.9_R
402	C243	0.1_uF
402	C242	100_pF
402	R215	1_K
402	R217	1.5_K
402	C203	0.01_uF
402	C501	0.01_uF
402	C500	0.01_uF
603	L203	68_nH
603	L208	100_nH
603	L202	100_nH
603	L101	22_nH
603	L205	68_nH
603	L204	68_nH
603	C114	3300_pF
603	C108	1_nF
603	C107	1_nF
603	C237	0.01_uF
603	C234	1.0_uF
603	C233	1.0_uF
603	C222	1.0_uF
603	C228	0.01_uF
603	C226	0.01_uF
603	C235	1_nF
603	C231	0.01_uF
603	C225	1.0_uF
603	C239	0.01_uF
603	C223	1.0_uF
805	R200	50_R
805	R201	51_R
805	R109	51_R
805	R113	51_R
805	R105	50_R
805	R104	51_R
805	C113	1500_pF
805	R213	51_R
805	R212	51_R
805	C240	0.012_uF
1206	R202	110_R
1206	R203	110_R
ADF4356	U100	unknown
AMPHENOL_ARFX1232	J100	unknown
AP7353	U204	unknown
ASx_Series_Oscillator	U501	100_MHz
ASx_Series_Oscillator	U500	60_MHz
B3741SAWFilter	FL200	unknown
Filter_3600BP	FL203	3.6_GHz
Filter_3600BP	FL202	3.6_GHz
Header_Arduino	J400	unknown
JUMPER6	J401	unknown
JUMPER6	J402	unknown
LFCN3000D+	FL101	unknown
LFCN3000D+	FL100	unknown
MAX2871	U203	unknown
QFN_PE43711	U103	unknown
QFN104EP	U200	unknown
SIM83+	U102	unknown
TC1-1-43X	T200	unknown
WBC9-1LB	T201	unknown
WW107	U202	unknown
WW107	U104	unknown
WW107	U101	unknown
WW107	U201	unknown
